Stock Quotes for KO,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,42.39,42.45,42.15,42.29,11497700,41.98
2014-07-02,42.31,42.41,42.15,42.29,6707000,41.98
2014-07-03,42.26,42.32,42.01,42.23,7537700,41.92
2014-07-07,41.96,42.2,41.93,42.14,8991900,41.84
2014-07-08,41.97,42.25,41.91,41.94,10090500,41.64
2014-07-09,41.93,42.16,41.79,41.95,9891600,41.65
2014-07-10,41.56,42.29,41.55,42.26,12564500,41.95
2014-07-11,42.12,42.25,41.88,41.97,9773000,41.67
2014-07-14,41.99,42.39,41.98,42.38,11857700,42.07
2014-07-15,42.41,42.43,41.95,42.1,10541900,41.8
2014-07-16,42.26,42.39,42.02,42.12,10331400,41.82
2014-07-17,41.93,42.15,41.83,42.02,9983500,41.72
2014-07-18,42.14,42.47,42.02,42.43,19272400,42.12
2014-07-21,42.12,42.57,42.09,42.4,17607200,42.09
2014-07-22,41.1,41.33,40.61,41.19,24706000,40.89
2014-07-23,40.98,41.05,40.63,40.81,17531700,40.51
2014-07-24,40.97,41.1,40.66,40.97,14856000,40.67
2014-07-25,40.92,41.04,40.81,41,10809900,40.7
2014-07-28,40.99,41,40.61,40.68,11709100,40.39
2014-07-29,40.75,40.78,40.35,40.35,10863600,40.06
2014-07-30,40.45,40.5,39.61,39.62,20346200,39.33
2014-07-31,39.53,39.73,39.25,39.29,15434700,39.01
2014-08-01,39.13,39.49,39.06,39.29,13566700,39.01
2014-08-04,39.41,39.46,39.12,39.4,11012900,39.12
2014-08-05,39.34,39.53,39.1,39.18,11639200,38.9
2014-08-06,39.13,39.96,39.13,39.92,17567500,39.63
2014-08-07,39.96,40.01,39.33,39.35,14367400,39.07
2014-08-08,39.34,39.58,39.26,39.45,13667000,39.16
2014-08-11,39.52,39.87,39.52,39.57,14102600,39.28
2014-08-12,39.56,39.84,39.54,39.68,13297500,39.39
2014-08-13,39.7,40.1,39.7,39.94,9646500,39.65
2014-08-14,39.93,40.19,39.93,40.18,6902000,39.89
2014-08-15,40.85,41.15,40.66,40.88,23221600,40.58
2014-08-18,40.79,41.42,40.79,41.35,14891500,41.05
2014-08-19,41.35,41.48,41.16,41.26,10260400,40.96
2014-08-20,41.15,41.34,41.09,41.25,6782500,40.95
2014-08-21,41.29,41.69,41.22,41.41,11951000,41.11
2014-08-22,41.29,41.52,41.05,41.12,11244600,40.82
2014-08-25,41.32,41.45,41.12,41.41,10229300,41.11
2014-08-26,41.41,41.7,41.41,41.6,8416500,41.3
2014-08-27,41.53,41.71,41.44,41.6,7693100,41.3
2014-08-28,41.51,41.7,41.44,41.63,9746400,41.33
2014-08-29,41.6,41.75,41.47,41.72,7666700,41.42
2014-09-02,41.52,41.84,41.31,41.64,9798100,41.34
2014-09-03,41.69,41.85,41.66,41.78,8635400,41.48
2014-09-04,41.8,42.17,41.73,41.87,16785300,41.57
2014-09-05,41.86,41.86,41.61,41.84,12768100,41.54
2014-09-08,41.67,41.94,41.63,41.78,9097700,41.48
2014-09-09,41.77,42.03,41.75,41.94,11892500,41.64
2014-09-10,41.9,42.19,41.83,42.17,17558000,41.86
2014-09-11,41.68,42.06,41.66,41.95,19614000,41.95
2014-09-12,41.9,41.92,41.36,41.46,12979900,41.46
2014-09-15,41.45,41.58,41.33,41.5,12259600,41.5
